Achieved_Revenue,Optimal_Revenue,Difference,Run_Number
75318.0,101208.0,25.6,910
76680.0,104616.0,26.7,911
74202.0,77664.0,4.5,912
79332.0,102030.0,22.2,913
74784.0,91260.0,18.1,914
85032.0,102678.0,17.2,915
79644.0,101820.0,21.8,916
73896.0,94050.0,21.4,917
83472.0,109692.0,23.9,918
81048.0,115320.0,29.7,919
74904.0,119160.0,37.1,920
78732.0,102030.0,22.8,921
75780.0,78696.0,3.7,922
77568.0,118596.0,34.6,923
75756.0,97890.0,22.6,924
81696.0,120000.0,31.9,925
76212.0,100896.0,24.5,926
75912.0,90036.0,15.7,927
73944.0,83232.0,11.2,928
86460.0,106224.0,18.6,929
73944.0,100194.0,26.2,930
73776.0,97992.0,24.7,931
74688.0,92568.0,19.3,932
79296.0,103014.0,23.0,933
75216.0,95244.0,21.0,934
74160.0,105264.0,29.5,935
80538.0,92556.0,13.0,936
78618.0,98520.0,20.2,937
74328.0,105684.0,29.7,938
75420.0,96948.0,22.2,939
99312.0,108822.0,8.7,940
74520.0,110376.0,32.5,941
78072.0,114570.0,31.9,942
74352.0,113880.0,34.7,943
75096.0,90888.0,17.4,944
85710.0,111552.0,23.2,945
79644.0,100194.0,20.5,946
75468.0,91920.0,17.9,947
63900.0,63900.0,0.0,948
75672.0,120000.0,36.9,949
74400.0,106092.0,29.9,950
76632.0,104430.0,26.6,951
75240.0,88260.0,14.8,952
78774.0,120000.0,34.4,953
85716.0,107880.0,20.5,954
79368.0,100644.0,21.1,955
74826.0,79140.0,5.5,956
77784.0,81228.0,4.2,957
74208.0,102456.0,27.6,958
82524.0,110334.0,25.2,959
16488.0,16848.0,2.1,960
82164.0,90720.0,9.4,961
80352.0,90012.0,10.7,962
78096.0,117348.0,33.4,963
78288.0,114738.0,31.8,964
85164.0,120000.0,29.0,965
77520.0,104124.0,25.6,966
78732.0,92160.0,14.6,967
76308.0,106170.0,28.1,968
74712.0,111900.0,33.2,969
